"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=20,             random_state=None, splitter='best')",0.614,0.558,1.172
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=30,             random_state=None, splitter='best')",0.614,0.556,1.170
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=25,             random_state=None, splitter='best')",0.614,0.555,1.169
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=10,             random_state=None, splitter='best')",0.609,0.556,1.165
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=15,             random_state=None, splitter='best')",0.606,0.558,1.164
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=1,             random_state=None, splitter='best')",0.480,0.418,0.898
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=2,             random_state=None, splitter='best')",0.482,0.411,0.894
"AdaBoostClassifier(algorithm='SAMME.R',           base_estimator=DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=2,             random_state=None, splitter='best'),           learning_rate=1.0, n_estimators=50, random_state=None)",0.465,0.412,0.878
"DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=5,             random_state=None, splitter='best')",0.467,0.408,0.875
"AdaBoostClassifier(algorithm='SAMME.R',           base_estimator=DecisionTreeClassifier(compute_importances=None, criterion='gini',             max_depth=None, max_features=None, max_leaf_nodes=None,             min_density=None, min_samples_leaf=1, min_samples_split=20,             random_state=None, splitter='best'),           learning_rate=1.0, n_estimators=50, random_state=None)",0.519,0.355,0.874
