Classifier,Precision,Recall,Total
DecisionTreeClassifier min_samples_split=30,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=15,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=20,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=25,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=10,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=2,0.512,0.358,0.87
"AdaBoostClassifier min_samples_split=20, n_estimators=50",0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=1,0.512,0.358,0.87
DecisionTreeClassifier min_samples_split=5,0.512,0.358,0.87
"AdaBoostClassifier min_samples_split=2, n_estimators=50",0.512,0.358,0.87
